,code_pays,pays,region,population_totale,migration_nette,croissance_annuelle_PIB,pourcentage_total_population_chomage,inflation_prix_annuel_consommation,acces_electricite(%population),indi_capital_humain(indice entre 0 et 1),niveau de vie
68,ESP,Espagne,Europe et Asie centrale,47615034.0,275022.0,5.5,13.0,8.4,100.0,0.7,eleve
69,EST,Estonie,Europe et Asie centrale,1344768.0,2995.0,-1.3,5.9,19.4,100.0,0.8,eleve
70,ETH,Ethiopie,Afrique subsaharienne,123379924.0,-1391.0,5.3,4.0,26.8,54.2,0.4,faible
74,FJI,Fidji,Asie de l'Est et Pacifique,929766.0,-6003.0,16.1,4.3,4.5,92.1,0.5,>moyenne
75,FRA,France,Europe et Asie centrale,67935660.0,20614.0,2.6,7.4,5.2,100.0,0.8,eleve
76,FRO,Iles Feroe,Europe et Asie centrale,53090.0,0.0,5.6,6.0,7.2,100.0,0.6,eleve
77,FSM,"Micronesie, Etats federes de",Asie de l'Est et Pacifique,114164.0,-635.0,-0.6,6.0,5.4,83.6,0.5,moyen
80,GEO,Georgie,Europe et Asie centrale,3712502.0,-2734.0,10.1,11.3,11.9,100.0,0.6,>moyenne
81,GHA,Ghana,Afrique subsaharienne,33475870.0,-11253.0,3.2,3.9,31.3,86.3,0.5,moyen
82,GIB,Gibraltar,Europe et Asie centrale,32649.0,-58.0,3.6500000000000004,6.0,7.2,100.0,0.6,eleve
84,GMB,Gambie,Afrique subsaharienne,2705992.0,-1960.0,4.9,4.8,11.5,63.7,0.4,faible
86,GNQ,Guinee equatoriale,Afrique subsaharienne,1674908.0,6486.0,3.1,8.7,4.8,66.8,0.6,>moyenne
87,GRC,Grece,Europe et Asie centrale,10566531.0,-14806.0,5.9,12.2,9.6,100.0,0.7,eleve
88,GRD,Grenade,Amerique latine et Caraibes,125438.0,-85.0,5.8,6.0,1.2,93.7,0.6,>moyenne
90,GTM,Guatemala,Amerique latine et Caraibes,17357886.0,-29118.0,4.1,2.6,6.9,97.9,0.5,>moyenne
91,GUM,Guam,Asie de l'Est et Pacifique,171774.0,-244.0,1.1,6.1,7.2,100.0,0.6,eleve
92,GUY,Guyana,Amerique latine et Caraibes,808726.0,-4316.0,57.8,12.4,5.0,92.9,0.5,eleve
94,HKG,"Chine, RAS de Hong Kong",Asie de l'Est et Pacifique,7346100.0,0.0,-3.5,5.1,1.9,100.0,0.8,eleve
95,HND,Honduras,Amerique latine et Caraibes,10432860.0,-5779.0,4.0,7.1,9.1,94.1,0.5,moyen
97,HRV,Croatie,Europe et Asie centrale,3854000.0,-10402.0,6.3,6.7,10.8,100.0,0.7,eleve
98,HTI,Haiti,Amerique latine et Caraibes,11584996.0,-32977.0,-1.7,14.8,34.0,47.2,0.4,moyen
99,HUN,Hongrie,Europe et Asie centrale,9683505.0,19870.0,4.6,3.4,14.6,100.0,0.7,eleve
104,IDN,Indonesie,Asie de l'Est et Pacifique,275501339.0,-14992.0,5.3,3.6,4.2,99.2,0.5,>moyenne
106,IMN,Ile de Man,Europe et Asie centrale,84519.0,517.0,-8.8,6.0,7.2,100.0,0.6,eleve
107,IND,Inde,Asie du Sud,1.42,-301970.0,7.0,7.3,6.7,99.6,0.5,moyen
109,IRL,Irlande,Europe et Asie centrale,5086988.0,15320.0,12.0,4.4,7.8,100.0,0.8,eleve
110,IRN,"Iran, Republique islamique d'",Afrique du Nord et Moyen-Orient,88550570.0,28080.0,2.7,11.0,43.4,100.0,0.6,moyen
114,ITA,Italie,Europe et Asie centrale,58856847.0,28021.0,3.7,8.1,8.2,100.0,0.7,eleve
115,JAM,Jamaique,Amerique latine et Caraibes,2827377.0,-5664.0,4.2,6.0,10.3,100.0,0.5,>moyenne
116,JOR,Jordanie,Afrique du Nord et Moyen-Orient,11285869.0,14374.0,2.5,17.9,4.2,99.9,0.6,moyen
117,JPN,Japon,Asie de l'Est et Pacifique,125124989.0,87584.0,1.0,2.6,2.5,100.0,0.8,eleve
119,KEN,Kenya,Afrique subsaharienne,54027487.0,-52549.0,4.8,5.5,7.7,76.5,0.5,moyen
120,KGZ,Republique kirghize,Europe et Asie centrale,6803300.0,-16510.0,7.0,4.6,13.9,99.7,0.6,moyen
121,KHM,Cambodge,Asie de l'Est et Pacifique,16767842.0,-24262.0,5.2,0.4,5.3,82.5,0.5,moyen
122,KIR,Kiribati,Asie de l'Est et Pacifique,131232.0,-296.0,1.6,6.0,-1.8,92.8,0.5,moyen
123,KNA,Saint-Kitts-et-Nevis,Amerique latine et Caraibes,47657.0,-90.0,9.0,6.0,2.7,100.0,0.6,eleve
124,KOR,"Coree, Republique de",Asie de l'Est et Pacifique,51628117.0,43440.0,2.6,2.8,5.1,100.0,0.8,eleve
125,KWT,Koweit,Afrique du Nord et Moyen-Orient,4268873.0,-36843.0,8.2,2.5,3.4,100.0,0.6,eleve
128,LBN,Liban,Afrique du Nord et Moyen-Orient,5489739.0,-115122.0,-7.0,12.6,154.8,100.0,0.5,moyen
129,LBR,Liberia,Afrique subsaharienne,5302681.0,-11862.0,4.8,3.6,23.6,29.8,0.3,faible
130,LBY,Libye,Afrique du Nord et Moyen-Orient,6812341.0,-696.0,-1.2,20.7,2.6,70.2,0.6,>moyenne
131,LCA,Sainte-Lucie,Amerique latine et Caraibes,179857.0,0.0,15.4,17.4,6.4,100.0,0.6,>moyenne
135,LIE,Liechtenstein,Europe et Asie centrale,39327.0,231.0,-1.2,6.0,7.2,100.0,0.6,eleve
136,LKA,Sri Lanka,Asie du Sud,22181000.0,-92400.0,-7.8,6.7,49.7,100.0,0.6,moyen
139,LSO,Lesotho,Afrique subsaharienne,2305825.0,-1490.0,0.6,18.0,8.3,50.4,0.4,moyen
141,LTU,Lituanie,Europe et Asie centrale,2833000.0,-11853.0,1.9,5.6,19.7,100.0,0.7,eleve
142,LUX,Luxembourg,Europe et Asie centrale,650774.0,6949.0,1.5,4.7,6.3,100.0,0.7,eleve
143,LVA,Lettonie,Europe et Asie centrale,1883379.0,-6815.0,2.0,6.4,17.3,100.0,0.7,eleve
146,MAR,Maroc,Afrique du Nord et Moyen-Orient,37457971.0,-46242.0,1.1,10.5,6.7,100.0,0.5,moyen
148,MDA,Moldova,Europe et Asie centrale,2592477.0,-14278.0,-5.9,2.3,28.7,100.0,0.6,>moyenne
149,MDG,Madagascar,Afrique subsaharienne,29611714.0,-742.0,3.8,2.1,8.2,35.1,0.4,faible
150,MDV,Maldives,Asie du Sud,523787.0,1189.0,12.3,4.9,2.3,100.0,0.6,>moyenne
153,MHL,Iles Marshall,Asie de l'Est et Pacifique,41569.0,-1901.0,1.5,6.0,7.2,99.8,0.4,>moyenne
155,MKD,Macedoine du Nord,Europe et Asie centrale,2057679.0,-486.0,2.1,15.1,14.2,100.0,0.6,>moyenne
156,MLI,Mali,Afrique subsaharienne,22593590.0,-22236.0,3.7,2.8,3.9,53.4,0.3,faible
158,MMR,Myanmar,Asie de l'Est et Pacifique,54179306.0,-35382.0,3.0,1.5,8.8,72.5,0.5,moyen
160,MNE,Montenegro,Europe et Asie centrale,616159.0,-101.0,6.1,15.4,13.0,99.8,0.6,>moyenne
161,MNG,Mongolie,Asie de l'Est et Pacifique,3398366.0,0.0,4.8,8.2,15.1,100.0,0.6,moyen
163,MOZ,Mozambique,Afrique subsaharienne,32969518.0,-9515.0,4.1,3.9,10.3,31.5,0.4,faible
164,MRT,Mauritanie,Afrique subsaharienne,4736139.0,-1494.0,5.2,11.1,9.5,47.7,0.4,moyen
165,MUS,Maurice,Afrique subsaharienne,1262523.0,-478.0,8.7,7.2,10.8,99.6,0.6,>moyenne
167,MYS,Malaisie,Asie de l'Est et Pacifique,33938221.0,46165.0,8.7,3.7,3.4,100.0,0.6,>moyenne
169,NAM,Namibie,Afrique subsaharienne,2567012.0,-4301.0,4.6,20.8,6.1,55.2,0.4,>moyenne
170,NCL,Nouvelle-Caledonie,Asie de l'Est et Pacifique,276780.0,-1182.0,-2.1,12.3,0.6,100.0,0.6,eleve
171,NER,Niger,Afrique subsaharienne,26207977.0,-4405.0,11.5,0.5,4.2,18.6,0.3,faible
172,NGA,Nigeria,Afrique subsaharienne,218541212.0,-76364.0,3.3,5.8,18.8,59.5,0.4,moyen
173,NIC,Nicaragua,Amerique latine et Caraibes,6948392.0,-10384.0,3.8,5.6,10.5,86.3,0.5,moyen
174,NLD,Pays-Bas,Europe et Asie centrale,17703090.0,57439.0,4.5,3.5,10.0,100.0,0.8,eleve
175,NOR,Norvege,Europe et Asie centrale,5457127.0,10604.0,3.3,3.2,5.8,100.0,0.8,eleve
176,NPL,Nepal,Asie du Sud,30547580.0,296541.0,5.6,11.1,4.1,89.9,0.5,moyen
177,NRU,Nauru,Asie de l'Est et Pacifique,12668.0,-66.0,2.4,6.0,-0.1,100.0,0.6,eleve
178,NZL,Nouvelle-Zelande,Asie de l'Est et Pacifique,5124100.0,38220.0,2.2,3.3,7.2,100.0,0.8,eleve
180,OMN,Oman,Afrique du Nord et Moyen-Orient,4576298.0,-20664.0,4.3,2.3,2.8,100.0,0.6,eleve
182,PAK,Pakistan,Asie du Sud,235824862.0,-471395.0,6.2,6.4,19.9,94.9,0.4,moyen
184,PER,Perou,Amerique latine et Caraibes,34049588.0,68012.0,2.7,3.7,8.3,95.6,0.6,>moyenne
186,PLW,Palaos,Asie de l'Est et Pacifique,18055.0,3.0,-13.3,6.0,12.4,100.0,0.6,>moyenne
187,PNG,Papouasie-Nouvelle-Guinee,Asie de l'Est et Pacifique,10142619.0,10695.0,4.6,2.8,4.5,20.9,0.4,moyen
188,POL,Pologne,Europe et Asie centrale,37561599.0,-2968.0,4.9,2.6,14.4,100.0,0.8,eleve
190,PRI,Porto Rico,Amerique latine et Caraibes,3221789.0,-7408.0,3.4,6.0,7.2,100.0,0.6,eleve
192,PRT,Portugal,Europe et Asie centrale,10379007.0,27295.0,6.7,5.8,7.8,100.0,0.8,eleve
193,PRY,Paraguay,Amerique latine et Caraibes,6780744.0,-8230.0,0.1,6.9,9.8,100.0,0.5,>moyenne
194,PSE,Cisjordanie et Gaza,Afrique du Nord et Moyen-Orient,5043612.0,-12369.0,3.9,25.7,1.2,100.0,0.6,>moyenne
197,PYF,Polynesie francaise,Asie de l'Est et Pacifique,306279.0,-378.0,2.4,13.1,7.2,100.0,0.6,eleve
198,QAT,Qatar,Afrique du Nord et Moyen-Orient,2695122.0,-30801.0,4.8,0.1,5.0,100.0,0.6,eleve
200,RUS,Federation de Russie,Europe et Asie centrale,143555736.0,320617.0,-2.1,4.7,6.7,100.0,0.7,>moyenne
201,RWA,Rwanda,Afrique subsaharienne,13776698.0,-6112.0,8.2,13.0,17.7,48.7,0.4,faible
203,SAU,Arabie saoudite,Afrique du Nord et Moyen-Orient,36408820.0,-153883.0,8.7,5.6,2.5,100.0,0.6,eleve
204,SDN,Soudan,Afrique subsaharienne,46874204.0,-15223.0,-1.0,18.7,138.8,61.8,0.4,faible
206,SGP,Singapour,Asie de l'Est et Pacifique,5637022.0,19321.0,3.6,2.8,6.1,100.0,0.9,eleve
207,SLB,Iles Salomon,Asie de l'Est et Pacifique,724273.0,-808.0,-4.1,1.5,5.5,76.3,0.4,moyen
208,SLE,Sierra Leone,Afrique subsaharienne,8605718.0,-1544.0,3.5,3.6,27.2,27.5,0.4,faible
209,SLV,El Salvador,Amerique latine et Caraibes,6336392.0,-27343.0,2.6,3.8,7.2,97.9,0.5,>moyenne
210,SMR,Saint-Marin,Europe et Asie centrale,33660.0,41.0,8.5,6.0,1.0,100.0,0.6,eleve
214,SSD,Soudan du Sud,Afrique subsaharienne,10913164.0,-31885.0,-10.8,13.0,-6.7,7.7,0.3,faible
217,STP,Sao Tome-et-Principe,Afrique subsaharienne,227380.0,-792.0,0.9,15.3,18.0,78.5,0.6,moyen
218,SUR,Suriname,Amerique latine et Caraibes,618040.0,-492.0,1.9,8.6,52.4,98.8,0.6,>moyenne
219,SVK,Republique slovaque,Europe et Asie centrale,5431752.0,1746.0,1.7,6.1,12.8,100.0,0.7,eleve
220,SVN,Slovenie,Europe et Asie centrale,2108732.0,4568.0,5.4,4.2,8.8,100.0,0.8,eleve
221,SWE,Suede,Europe et Asie centrale,10486941.0,80097.0,2.6,7.4,8.4,100.0,0.8,eleve
222,SWZ,Eswatini,Afrique subsaharienne,1201670.0,-4897.0,3.9,24.4,2.6,82.9,0.4,moyen
223,SXM,Sint Maarten (Dutch part),Amerique latine et Caraibes,43389.0,212.0,9.7,6.0,2.2,100.0,0.6,eleve
224,SYC,Seychelles,Afrique subsaharienne,100060.0,146.0,8.8,6.0,8.3,100.0,0.6,eleve
225,SYR,Republique arabe syrienne,Afrique du Nord et Moyen-Orient,22125249.0,212187.0,-3.9,9.6,36.7,88.8,0.6,faible
226,TCA,Iles Turques-et-Caiques,Amerique latine et Caraibes,45703.0,682.0,-0.5,6.0,7.2,100.0,0.6,eleve
231,THA,Thailande,Asie de l'Est et Pacifique,71697030.0,1133.0,2.6,0.9,6.1,100.0,0.6,>moyenne
232,TJK,Tadjikistan,Europe et Asie centrale,9952787.0,-3564.0,8.0,7.8,6.0,99.6,0.5,moyen
233,TKM,Turkmenistan,Europe et Asie centrale,6430770.0,-4503.0,-3.4,5.0,7.2,100.0,0.6,>moyenne
237,TON,Tonga,Asie de l'Est et Pacifique,106858.0,-948.0,-2.7,3.0,11.0,100.0,0.5,>moyenne
240,TTO,Trinite-et-Tobago,Amerique latine et Caraibes,1531044.0,2632.0,2.5,4.0,2.1,100.0,0.6,eleve
241,TUN,Tunisie,Afrique du Nord et Moyen-Orient,12356117.0,-9189.0,2.5,16.1,8.3,99.9,0.5,moyen
242,TUR,Turquie,Europe et Asie centrale,85341241.0,-69729.0,5.6,10.0,72.3,100.0,0.6,>moyenne
243,TUV,Tuvalu,Asie de l'Est et Pacifique,11312.0,-15.0,0.7,6.0,0.5,99.7,0.4,>moyenne
245,TZA,Tanzanie,Afrique subsaharienne,65497748.0,-4865.0,4.6,2.8,4.4,42.7,0.4,moyen
246,UGA,Ouganda,Afrique subsaharienne,47249585.0,43465.0,4.7,4.3,7.2,45.2,0.4,faible
247,UKR,Ukraine,Europe et Asie centrale,38000000.0,831.0,-29.1,9.8,20.2,100.0,0.6,moyen
249,URY,Uruguay,Amerique latine et Caraibes,3422794.0,-1486.0,4.9,7.8,9.1,100.0,0.6,eleve
251,UZB,Ouzbekistan,Europe et Asie centrale,35648100.0,-39201.0,5.7,6.0,11.4,99.9,0.6,moyen
252,VCT,Saint-Vincent-et-les Grenadines,Amerique latine et Caraibes,103948.0,-379.0,5.0,19.0,5.7,100.0,0.5,>moyenne
253,VEN,Venezuela,Amerique latine et Caraibes,28301696.0,-525116.0,-3.9,5.3,254.9,100.0,0.6,eleve
255,VIR,Iles Vierges (EU),Amerique latine et Caraibes,105413.0,-224.0,-2.1,12.4,7.2,100.0,0.6,eleve
256,VNM,Viet Nam,Asie de l'Est et Pacifique,98186856.0,-992.0,8.0,1.9,3.2,100.0,0.7,moyen
257,VUT,Vanuatu,Asie de l'Est et Pacifique,326740.0,-197.0,1.8,2.1,2.3,70.0,0.5,moyen
259,WSM,Samoa,Asie de l'Est et Pacifique,222382.0,-882.0,-6.0,10.3,11.0,98.3,0.5,moyen
260,XKX,Kosovo,Europe et Asie centrale,1761985.0,-15050.0,3.5,6.0,11.6,100.0,0.6,>moyenne
261,YEM,"Yemen, Rep. du",Afrique du Nord et Moyen-Orient,33696614.0,-101468.0,0.8,13.6,8.1,74.9,0.4,faible
262,ZAF,Afrique du Sud,Afrique subsaharienne,59893885.0,10934.0,2.0,29.8,7.0,89.3,0.4,>moyenne
263,ZMB,Zambie,Afrique subsaharienne,20017675.0,9015.0,4.7,6.1,11.0,46.7,0.4,moyen
264,ZWE,Zimbabwe,Afrique subsaharienne,16320537.0,-25005.0,3.4,7.9,104.7,49.0,0.5,moyen
